segment_index,start_lat,start_lon,end_lat,end_lon,distance_m,elev_delta_m,grade_pct,recommended_speed_mph,zone,zone_color,start_m,end_m
0,39.066091,-79.301486,39.064906,-79.302303,149.4574118482038,0.4700000000000273,0.314470854397895,2.8045988726700712,steady,#fdae61,0.0,149.4574118482038
1,39.064906,-79.302303,39.06372,-79.303112,149.23149889467865,0.5599999999999454,0.37525589714485813,2.7986765502264697,steady,#fdae61,149.4574118482038,298.68891074288246
2,39.06372,-79.303112,39.06365,-79.303219,12.08000717091497,-0.7999999999999545,-6.622512625043091,2.8867153976132487,speed-up,#1a9850,298.68891074288246,310.76891791379745
3,39.06365,-79.303219,39.063831,-79.303758,50.7013073471976,-2.3899999999998727,-4.713882392880693,2.8784759936534834,speed-up,#1a9850,310.76891791379745,361.47022526099505
4,39.063831,-79.303758,39.063845,-79.304082,28.016363386440435,-2.980000000000018,-10.636641019020693,2.886546506189495,speed-up,#1a9850,361.47022526099505,389.4865886474355
5,39.063845,-79.304082,39.064278,-79.3056,139.62285290031795,-3.759999999999991,-2.692968895775534,2.8639073079545065,speed-up,#1a9850,389.4865886474355,529.1094415477535
6,39.064278,-79.3056,39.064522,-79.307459,162.77566735867353,-3.9700000000000273,-2.4389394707577496,2.861650698885095,speed-up,#1a9850,529.1094415477535,691.885108906427
7,39.064522,-79.307459,39.065129,-79.308816,135.20884621292387,-2.130000000000109,-1.5753407115432616,2.8532687790591087,steady,#fdae61,691.885108906427,827.0939551193509
8,39.065129,-79.308816,39.06547,-79.310262,130.47152578138213,0.5,0.38322537964168457,2.797899675594519,steady,#fdae61,827.0939551193509,957.5654809007331
9,39.06547,-79.310262,39.065917,-79.313254,263.05105537292314,3.160000000000082,1.2012877102964676,2.7176566557936255,steady,#fdae61,957.5654809007331,1220.6165362736563
10,39.065917,-79.313254,39.065701,-79.314421,103.57533687922253,2.9300000000000637,2.828858769164987,2.5550801311156697,steady,#fdae61,1220.6165362736563,1324.1918731528788
11,39.065701,-79.314421,39.065205,-79.315419,102.30206563016108,0.1799999999998363,0.17594952642556225,2.8180747681807072,steady,#fdae61,1324.1918731528788,1426.4939387830398
12,39.065205,-79.315419,39.065017,-79.316407,87.82333853624486,-1.0499999999999545,-1.195581968871085,2.849235406338825,steady,#fdae61,1426.4939387830398,1514.3172773192846
13,39.065017,-79.316407,39.064829,-79.317898,130.4123662613654,-2.6800000000000637,-2.0550198396285158,2.858059986005966,steady,#fdae61,1514.3172773192846,1644.72964358065
